game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
agalletat	Air Gallet (older, Taiwan)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
agalletau	Air Gallet (older, USA)		1996	Shooter / Flying Vertical			agallet			2				V	3	4	320	240	R	
agalleth	Air Gallet (Hong Kong)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical		agallet	agallet	2	3	2	joy8way		57.550645	V	3	4	320	240	R	
agalletj	Akuu Gallet (Japan)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical		agallet	agallet	2	3	2	joy8way		57.550645	V	3	4	320	240	R	
agalletk	Air Gallet (Korea)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical		agallet	agallet	2	3	2	joy8way		57.550645	V	3	4	320	240	R	
agallett	Air Gallet (Taiwan)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical		agallet	agallet	2	3	2	joy8way		57.550645	V	3	4	320	240	R	
agalletu	Air Gallet (USA)	Gazelle (Banpresto license)	1996	Shooter / Flying Vertical		agallet	agallet	2	3	2	joy8way		57.550645	V	3	4	320	240	R	
agentx1	Agent X (prototype, rev 1)	Atari	1983	Shooter / Field	cloak	cloak		2	1	1	doublejoy8way		60	H			256	232	R	
agentx2	Agent X (prototype, rev 2)	Atari	1983	Shooter / Field	cloak	cloak		2	1	1	doublejoy8way		60	H			256	232	R	
agentx3	Agent X (prototype, rev 3)	Atari	1983	Shooter / Field	cloak	cloak		2	1	1	doublejoy8way		60	H			256	232	R	
agentx4	Agent X (prototype, rev 4)	Atari	1983	Shooter / Field	cloak	cloak		2	1	1	doublejoy8way		60	H			256	232	R	
agress	Agress - Missile Daisenryaku (Japan)	Palco	1991	Puzzle / Sliding				3	4	2	joy8way		58	H			320	240	R	
agressb	Agress - Missile Daisenryaku (English bootleg)	bootleg	2003	Puzzle / Sliding	agress	agress		3	4	2	joy8way		58	H			320	240	R	
ainferno	Air Inferno (US)	Taito America Corporation	1990	Shooter / Flying 1st Person				2	6	2	stick		60	H			512	400	R	
airass	Air Assault (World)	Irem	1993	Shooter / Flying Vertical						2				V	3	4	320	240	R	
airattck	Air Attack (set 1)	Comad	1996	Shooter / Flying Vertical				2	2	2	joy8way		56	V			256	224	R	
airattcka	Air Attack (set 2)	Comad	1996	Shooter / Flying Vertical	airattck	airattck		2	2	2	joy8way		56	V			256	224	R	
airbustj	Air Buster: Trouble Specialty Raid Unit (Japan)		1990	Shooter / Flying Horizontal			airbustr			2			60	H	4	3	256	224	R	
airbustr	Air Buster: Trouble Specialty Raid Unit (World)	Kaneko (Namco license)	1990	Shooter / Flying Horizontal				2	2	2	joy8way		60	H			256	224	R	
airbustrb	Air Buster: Trouble Specialty Raid Unit (bootleg)	bootleg	1990	Shooter / Flying Horizontal	airbustr	airbustr		2	2	2	joy8way		60	H			256	224	R	
airbustrj	Air Buster: Trouble Specialty Raid Unit (Japan)	Kaneko (Namco license)	1990	Shooter / Flying Horizontal	airbustr	airbustr		2	2	2	joy8way		60	H			256	224	R	
airco22b	Air Combat 22 (Rev. ACS1 Ver.B, Japan)	Namco	1995	Shooter / Flying (chase view)				1	5	1	pedal		60	H			640	480	R	
aircomb	Air Combat (AC2, US)	Namco	1992	Shooter / Flying (chase view)				2	6	1	stick		60.000000	H			496	480	R	
aircombj	Air Combat (AC1, Japan)	Namco	1992	Shooter / Flying (chase view)		aircomb	aircomb	2	6	1	stick		60	H			496	480	R	
aircombu	Air Combat (US)		1992	Shooter / Flying 1st Person	aircombj					2			60	H			496	480	R	
airduel	Air Duel (World, M82-A-A + M82-B-A)	Irem	1990	Shooter / Flying Vertical				2	4	2	joy8way		55.017606	V			384	256	R	
airduelm72	Air Duel (Japan, M72)	Irem	1990	Shooter / Flying Vertical		airduel	airduel			2				V	3	4	384	256	R	
airlbios	Naomi Airline Pilots Deluxe Bios	Sega	1999					2	6	2	joy8way		60.000000	H			640	480	R	
airrace	Air Race (prototype)	Atari Games	1985					3	6>	1	stick		60.006001	H			512	384	R	
airraid	Air Raid (Single PCB)	Seibu Kaihatsu	1987	Shooter / Flying Vertical	cshooter	cshooter		2	2	2	joy8way		60	V			256	224	R	
airtrix	Air Trix (Rev A)	Sega	2000	Sports / Skateboarding	hikaru	hikaru		4	6	0	joy8way		60	H			640	480	R	
airwolf	Airwolf	Kyugo	1987	Shooter / Flying Horizontal				2	2	2	joy8way		60	H			288	224	R	
airwolfa	Airwolf (US)	Kyugo (United Amusements license)	1987	Shooter / Flying Horizontal	airwolf	airwolf		2	2	2	joy8way		60	H			288	224	R	
ajax	Ajax	Konami	1987	Shooter / Flying Vertical				3	3	2	joy8way		60	V			304	224	R	
ajaxj	Ajax (Japan)	Konami	1987	Shooter / Flying Vertical	ajax	ajax		3	3	2	joy8way		60	V			304	224	R	
akamaru	Panel & Variety Akamaru Q Jousyou Dont-R	Dynax (Nakanihon license)	1996	Quiz / Questions in Japanese				2	1	2	joy8way		60	H			336	240	R	
akiss	Mahjong Angel Kiss (ver 1.0)	Jaleco	1995	Tabletop / Mahjong				1	5	1	joy8way		60	H			320	224	R	
akkanvdr	Akkanbeder (Ver 2.5J 1995/06/14)	Taito Corporation	1995	Shooter / Gallery	spcinv95	spcinv95		4	4	4	dial		58.97	V			320	224	R	
akumajou	Akuma-Jou Dracula (Japan version P)	Konami	1988	Platform / Fighter Scrolling		hcastle	hcastle			2				H	4	3	256	224	R	
akumajoun	Akuma-Jou Dracula (Japan version N)	Konami	1988	Platform / Fighter Scrolling		hcastle	hcastle			2				H	4	3	256	224	R	
aladbl	Aladdin (bootleg of Japanese Megadrive version)		1993	Not Classified						1			60	H			256	224	R	
aladmdb	Aladdin (bootleg of Japanese Megadrive version)	bootleg / Sega	1993					1	3	1	joy8way		60.000000	H			256	224	R	
alcon	Alcon (US)	Toaplan / Taito America Corp.	1986	Shooter / Flying Vertical	slapfigh			2	2	2	joy8way		60	V			280	240	R	
aleck64	Aleck64 PIF BIOS	Nintendo / Seta	1998					2	9	2	stick		60.000000	H			640	240	R	
alexkida	Alex Kidd: The Lost Stars (set 2, unprotected)		1986	Not Classified			alexkidd						60	H	4	3	320	224	R	
alexkidd	Alex Kidd: The Lost Stars (set 2, unprotected)	Sega	1986	Platform / Run, Jump & Scrolling				2	3	2	joy8way		60	H			320	224	R	
alexkidd1	Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021)	Sega	1986	Platform / Run, Jump & Scrolling	alexkidd	alexkidd		2	3	2	joy8way		60	H			320	224	R	
alg_bios	American Laser Games BIOS	American Laser Games	199?					2	3	1	lightgun		59.997000	H			671	216	R	
alibaba	Ali Baba and 40 Thieves	Sega	1982	Maze / Collect				2	1	2	joy4way		60.606061	V			288	224	R	
alibabab	Mustafa and 40 Thieves (bootleg)	bootleg	1982	Maze / Collect		alibaba	alibaba			2				V	3	4	288	224	R	
alien3	Alien3: The Gun (World)	Sega	1993	Shooter / Gun				2	2	2	stick		60	H			416	224	R	
alien3u	Alien3: The Gun (US)	Sega	1993	Shooter / Gun	alien3	alien3		2	2	2	stick		60	H			416	224	R	
alienar	Alien Arena	Duncan Brown	1985	Maze / Collect				3	2	2	joy8way		60.096154	H			292	240	R	
alienaru	Alien Arena (Stargate upgrade)	Duncan Brown	1985	Maze / Collect	alienar	alienar		3	2	2	joy8way		60.096154	H			292	240	R	
aliencha	Alien Challenge (World)	IGS	1994	Fighter / Versus				2	6	2	joy8way		60.000000	H	4	3	448	224	R	
alienchac	Alien Challenge (China)	IGS	1994	Fighter / Versus		aliencha	aliencha	2	6	2	joy8way		60.000000	H	4	3	448	224	R	
alieninv	Alien Invasion	bootleg (Margamatics)	19??	Shooter / Gallery	invaders	invaders		2	1	2	joy2way		59.541985	V			260	224	R	
alieninvp2	Alien Invasion Part II	bootleg	19??	Shooter / Gallery	invaders	invaders		2	1	2	joy2way		59.541985	V			260	224	R	
aliens	Aliens (World set 1)	Konami	1990	Platform / Shooter Scrolling				3	2	2	joy8way		60	H			288	224	R	
aliens2	Aliens (World set 2)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliens3	Aliens (World set 3)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliensa	Aliens (Asia)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliensec	Alien Sector	Namco	1985	Shooter / Flying Horizontal				2	1	2	joy8way		60.60606	H			288	224	R	
aliensj	Aliens (Japan set 1)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliensj2	Aliens (Japan set 2)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliensu	Aliens (US)	Konami	1990	Platform / Shooter Scrolling	aliens	aliens		3	2	2	joy8way		60	H			288	224	R	
aliensya	Alien Syndrome (set 4, System16A, FD1089A 317-0033?)		1987	Not Classified			aliensyn						60	H	4	3	320	224	R	
aliensyb	Alien Syndrome (set 2, System 16B, FD1089A 317-0033?)		1987	Not Classified			aliensyn						60	H	4	3	320	224	R	
aliensyj	Alien Syndrome (set 3, System16A, FD1089A 317-0033)		1987	Not Classified			aliensyn						60	H	4	3	320	224	R	
aliensyn	Alien Syndrome (set 4, System 16B, unprotected)	Sega	1987	Maze / Shooter Large				2	3	2	joy8way		60.054389	H			320	224	R	
aliensyn2	Alien Syndrome (set 2, System 16A, FD1089A 317-0033)	Sega	1987	Maze / Shooter Large	aliensyn	aliensyn		2	3	2	joy8way		60	H			320	224	R	
aliensyn3	Alien Syndrome (set 3, System 16B, FD1089A 317-0033)	Sega	1987	Maze / Shooter Large	aliensyn	aliensyn		2	3	2	joy8way		60.054389	H			320	224	R	
aliensyn5	Alien Syndrome (set 5, System 16A, FD1089B 317-0037)	Sega	1987	Maze / Shooter Large	aliensyn	aliensyn		2	3	2	joy8way		60	H			320	224	R	
aliensyn7	Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)	Sega	1987	Maze / Shooter Large		aliensyn	aliensyn			2				H	4	3	320	224	R	
aliensynj	Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)	Sega	1987	Maze / Shooter Large	aliensyn	aliensyn		2	3	2	joy8way		60.054389	H			320	224	R	
aliensynjo	Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)	Sega	1987	Maze / Shooter Large	aliensyn	aliensyn		2	3	2	joy8way		60	H			320	224	R	
aligator	Alligator Hunt (World, protected)	Gaelco	1994	Shooter / 3rd Person				2	3	2	joy8way		59.1	H			320	240	R	
aligatorun	Alligator Hunt (unprotected, set 1)	Gaelco	1994	Shooter / 3rd Person	aligator	aligator		2	3	2	joy8way		59.1	H			320	240	R	
aligatun	Alligator Hunt (unprotected)		1994	Shooter / 3rd Person			aligator			2			59.099998	H	4	3	320	240	R	
alinvade	Alien Invaders	Forbes?	198?	Shooter / Gallery										V		1	128	128	R	
alleymas	Alley Master	Cinematronics	1986	Sports / Bowling				2	2	1	stick		60	V			320	240	R	
alpha1v	Alpha One (Vision Electronics)	Vision Electronics	1988	Shooter / Flying Horizontal				2	2	2	joy8way		56.737589	H			240	252	R	
alphaho	Alpha Fighter / Head On	Data East Corporation	19??	MultiGame / Compilation				1	2	2	joy4way		60	V			256	224	R	
alpham2	Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)	SNK	1991	Shooter / Flying Vertical	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
alpham2p	Alpha Mission II / ASO II - Last Guardian (prototype)	SNK	1991	Shooter / Flying Vertical		alpham2	alpham2			2				H	4	3	320	224	R	
alphamis	Alpha Mission	SNK	1985	Shooter / Flying Vertical	aso	aso		2	3	2	joy8way		60	V			288	216	R	
alphaona	Alpha One (prototype, 5 lives)		1983	Shooter / Misc.			mhavoc			1			50	H	4	3			V	
alphaone	Alpha One (prototype, 3 lives)	Atari	1983	Shooter / Misc.		mhavoc	mhavoc	3	1	1	dial		50	H	4	3			V	
alphaonea	Alpha One (prototype, 5 lives)	Atari	1983	Shooter / Misc.		mhavoc	mhavoc	3	1	1	dial		50.000000	H					V	
alphaxz	The Alphax Z (Japan)	Ed Co. Ltd. (Wood Place Inc. license)	1986	Shooter / Flying Vertical	m660	m660		2	2	2	joy8way		60	V			256	224	R	
alpilota	Airline Pilots (Rev A)	Sega	1999	Driving / Plane	alpiltdx	naomi		2	6	2	joy8way		60	H			640	480	R	
alpiltdx	Airline Pilots (deluxe) (Rev B)	Sega	1999	Driving / Plane	airlbios	airlbios		2	6	2	joy8way		60	H			640	480	R	
alpine	Alpine Ski (set 1)	Taito Corporation	1982	Sports / Skiing				3	1	2	joy2way		60	V			256	224	R	
alpinea	Alpine Ski (set 2)	Taito Corporation	1982	Sports / Skiing	alpine	alpine		3	1	2	joy2way		60	V			256	224	R	
alpinerc	Alpine Racer (Rev. AR2 Ver.C, World)	Namco	1994	Sports / Skiing	alpinerd	alpinerd		1	3	2	stick		60	H			640	480	R	
alpinerd	Alpine Racer (Rev. AR2 Ver.D, World)	Namco	1994	Sports / Skiing				1	3	2	stick		60	H			640	480	R	
alpinesa	Alpine Surfer (Rev. AF2 Ver.A, World)	Namco	1996	Sports / Skiing				1	3	2	stick		60	H			640	480	R	
alpinr2a	Alpine Racer 2 (Rev. ARS2 Ver.A, World)	Namco	1996	Sports / Skiing	alpinr2b	alpinr2b		1	3	2	stick		60	H			640	480	R	
alpinr2b	Alpine Racer 2 (Rev. ARS2 Ver.B, World)	Namco	1996	Sports / Skiing				1	3	2	stick		60	H			640	480	R	
altair	Altair	Cidelsa	1981	Shooter / Gallery				2	2	1	joy8way		50.089031	V			294	294	R	
altbeas2	Altered Beast (set 2, MC-8123B 317-0066)		1988	Platform / Fighter Scrolling			altbeast			2			60	H	4	3	320	224	R	
altbeast	Altered Beast (set 8) (8751 317-0078)	Sega	1988	Platform / Fighter Scrolling				2	3	2	joy8way		60.054389	H			320	224	R	
altbeast2	Altered Beast (set 2) (MC-8123B 317-0066)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeast4	Altered Beast (set 4) (MC-8123B 317-0066)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeast5	Altered Beast (set 5) (FD1094 317-0069)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeast5d	Altered Beast (set 5) (bootleg of FD1094 317-0069 set)	bootleg	1988	Platform / Fighter Scrolling		altbeast	altbeast			2				H	4	3	320	224	R	
altbeast6	Altered Beast (set 6) (8751 317-0076)	Sega	1988	Platform / Fighter Scrolling		altbeast	altbeast			2				H	4	3	320	224	R	
altbeastbl	Altered Beast (Datsu bootleg)	bootleg (Datsu)	1988	Platform / Fighter Scrolling		altbeast	altbeast			2				H	4	3	320	224	R	
altbeastj	Juuouki (set 7, Japan) (8751 317-0077)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeastj1	Juuouki (set 1, Japan) (FD1094 317-0065)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeastj2	Juuouki (set 5, Japan, FD1094 317-0069)		1988	Not Classified			altbeast	2	3	2	joy8way		60.054389	H			320	224	R	
altbeastj3	Juuouki (set 3, Japan) (FD1094 317-0068)	Sega	1988	Platform / Fighter Scrolling	altbeast	altbeast		2	3	2	joy8way		60.054389	H			320	224	R	
altbeastj3d	Juuouki (set 3, Japan) (bootleg of FD1094 317-0068 set)	bootleg	1988	Platform / Fighter Scrolling		altbeast	altbeast			2				H	4	3	320	224	R	
amatelas	Sei Senshi Amatelass	Nichibutsu	1986	Shooter / Walking	amazon	amazon		2	2	2	joy8way		60	V			256	224	R	
amazon	Soldier Girl Amazon	Nichibutsu	1986	Shooter / Walking				2	2	2	joy8way		60	V			256	224	R	
ambush	Ambush	Tecfri	1983	Shooter / Flying (chase view)				2	2	2	joy8way		60	H			256	222	R	
ambushh	Ambush (hack?)	Tecfri	1983	Shooter / Flying (chase view)		ambush	ambush			2				H	4	3	256	222	R	
ambushj	Ambush (Japan)	Tecfri (Nippon Amuse license)	1983	Shooter / Flying (chase view)		ambush	ambush	2	2	2	joy8way		60.000000	H	4	3	256	222	R	
ambusht	Ambush (Tecfri)		1983	Shooter / Flying (chase view)	ambush					2			60	H			256	222	R	
ambushv	Ambush (Volt Electronics)	Tecfri (Volt Electronics license)	1983	Shooter / Flying (chase view)	ambush	ambush		2	2	2	joy8way		60	H			256	222	R	
amclink	Amcoe Link Control Box (Version 2.2)	Amcoe	200?	Utilities / Test				3	12	1	joy8way		60	H			512	288	R	
amerdart	AmeriDarts (set 1)	Ameri	1989	Sports / Darts				2	1	2	trackball		60.012477	H			322	240	R	
amerdart2	AmeriDarts (set 2)	Ameri	1989	Sports / Darts	amerdart	amerdart		2	1	2	trackball		60.012477	H			322	240	R	
amerdart3	AmeriDarts (set 3)	Ameri	1989	Sports / Darts		amerdart	amerdart	2	1	2	trackball		60.012477	H			322	240	R	
amidar	Amidar	Konami	1982	Maze / Outline				2	1	2	joy4way		60.606061	V			768	224	R	
amidar1	Amidar (older)	Konami	1981	Maze / Outline		amidar	amidar			2				V	3	4	768	224	R	
amidarb	Amidar (bootleg)	bootleg	1982	Maze / Outline	amidar	amidar		2	1	2	joy4way		60.606061	V			768	224	R	
amidaro	Amidar (Olympia)	Konami (Olympia license)	1982	Maze / Outline	amidar	amidar		2	1	2	joy4way		60.606061	V			768	224	R	
amidars	Amidar (Scramble hardware)	Konami	1982	Maze / Outline	amidar	amidar		2	1	2	joy4way		60.606061	V			768	224	R	
amidaru	Amidar (Stern Electronics)	Konami (Stern Electronics license)	1982	Maze / Outline	amidar	amidar		2	1	2	joy4way		60.606061	V			768	224	R	
amigo	Amigo (bootleg of Amidar, set 1)	bootleg	1982	Maze / Outline	amidar	amidar		2	1	2	joy4way		60.606061	V			768	224	R	
am_mg24	Multi Game I (V.Ger 2.4)	Amatic Trading GmbH	2000	MultiGame / Compilation				1	3	1	joy8way		60	H			512	256	R	
am_mg3	Multi Game III (V.Ger 3.5)	Amatic Trading GmbH	2000	MultiGame / Compilation				1	3	1	joy8way		60	H			512	256	R	
ampkr228	American Poker II (iamp2 v28)	bootleg?	1994	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampkr2b1	American Poker II (bootleg, set 1)	bootleg	1990	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampkr2b2	American Poker II (bootleg, set 2)	bootleg	1990	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampkr2b3	American Poker II (bootleg, set 3)	bootleg	1994	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampkr2b4	American Poker II (bootleg, set 4)	bootleg	1994	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampkr95	American Poker 95	bootleg	1995	Casino / Cards	ampoker2	ampoker2		4	9	1	vjoy2way		60	H			288	240	R	
ampoker2	American Poker II	Novomatic	1990	Casino / Cards				4	9	1	vjoy2way		60	H			288	240	R	
amspdwy	American Speedway (set 1)	Enerdyne Technologies Inc.	1987	Driving / Race Track				2	1	2	dial		60	H			256	224	R	
amspdwya	American Speedway (set 2)	Enerdyne Technologies Inc.	1987	Driving / Race Track	amspdwy	amspdwy		2	1	2	dial		60	H			256	224	R	
amuse	Amuse (Version 50.08 IBA)	Greyhound Electronics	1982	Casino / Multiplay				1	9	1	joy8way		60	H			416	224	R	
amuse1	Amuse (Version 30.08 IBA)	Greyhound Electronics	1982	Casino / Multiplay		amuse	amuse	1	9	1	joy8way		60	H			416	224	R	
am_uslot	Amatic Unknown Slots Game		1996	Not Classified				1	3	1	joy8way		60	H			512	256	R	
androdun	Andro Dunos (NGM-049 ~ NGH-049)	Visco	1992	Shooter / Flying Horizontal	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
androidp	Android (prototype, later build)		1987	Shooter / Flying Vertical						2				V	3	4	256	192	R	
androidpo	Android (prototype, early build)		198?	Shooter / Gallery			androidp			2				V	3	4	256	192	R	
andromed	Andromeda (Japan?)	IPM	1979	Shooter / Gallery				1	1	2	joy2way		61.783314	V			240	224	R	
angelkds	Angel Kids (Japan)	Sega / Nasco?	1988	Climbing / Tree - Plant				2	2	2	doublejoy8way		60	V			256	240	R	
anibonus	Animal Bonus (Version 1.8E Dual)	Amcoe	2003	Slot Machine / Video Slot				3	12	1	joy8way		60	H			512	288	R	
anibonusb1	Animal Bonus (Version 1.7R, set 1)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusb2	Animal Bonus (Version 1.7LT, set 1)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusd1	Animal Bonus (Version 1.7R, set 2)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusd2	Animal Bonus (Version 1.7LT, set 2)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonuso	Animal Bonus (Version 1.5)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonuso2	Animal Bonus (Version 1.4, set 1)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonuso3	Animal Bonus (Version 1.4, set 2)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusv1	Animal Bonus (Version 1.8R Dual)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusv2	Animal Bonus (Version 1.8LT Dual)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusxo	Animal Bonus (Version 1.50XT)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusxo2	Animal Bonus (Version 1.40XT, set 1)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
anibonusxo3	Animal Bonus (Version 1.40XT, set 2)	Amcoe	2003	Slot Machine / Video Slot	anibonus	anibonus		3	12	1	joy8way		60	H			512	288	R	
animaljr	Exciting Animal Land Jr. (USA)	Nakanihon / East Technology (Taito license)	1993	Whac-A-Mole / Hammer				1	4	1	joy8way		60	H			336	240	R	
animaljrj	Waiwai Animal Land Jr. (Japan)	Nakanihon / East Technology (Taito license)	1993	Whac-A-Mole / Hammer		animaljr	animaljr	1	4	1	joy8way		60.000000	H			336	240	R	
animaljrs	Animalandia Jr. (Spanish)	Nakanihon / East Technology (Taito license)	1993	Whac-A-Mole / Hammer		animaljr	animaljr	1	4	1	joy8way		60.000000	H			336	240	R	
anithunt	Animal Treasure Hunt (Version 1.9R, set 1)	Amcoe	2003	Slot Machine / Video Slot				3	12	1	joy8way		60	H			512	288	R	
anithuntd1	Animal Treasure Hunt (Version 1.9R, set 2)	Amcoe	2003	Slot Machine / Video Slot	anithunt	anithunt		3	12	1	joy8way		60	H			512	288	R	
anithunto	Animal Treasure Hunt (Version 1.7)	Amcoe	2003	Slot Machine / Video Slot	anithunt	anithunt		3	12	1	joy8way		60	H			512	288	R	
anithunto2	Animal Treasure Hunt (Version 1.5)	Amcoe	2003	Slot Machine / Video Slot	anithunt	anithunt		3	12	1	joy8way		60	H			512	288	R	
anithuntv1	Animal Treasure Hunt (Version 1.9R Dual)	Amcoe	2003	Slot Machine / Video Slot	anithunt	anithunt		3	12	1	joy8way		60	H			512	288	R	
anteater	Anteater	Tago Electronics	1982	Maze / Collect				2	1	1	joy4way		60.606061	V			768	224	R	
anteaterg	Ameisenbaer (German)	Tago Electronics (TV-Tuning license from Free Enterprise Games)	1982	Maze / Collect		anteater	anteater			2				V	3	4	768	224	R	
anteateruk	The Anteater (UK)	Tago Electronics (Free Enterprise Games license	1982	Maze / Collect		anteater	anteater			2				V	3	4	768	224	R	
anteatg	Ameisenbaer (German)		1983	Maze	anteater			2	1	2	joy4way		60.606061	V			256	224	R	
anteatgb	The Anteater (UK)		1983	Maze	anteater			2	1	2	joy4way		60.606061	V			256	224	R	
aodk	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)	ADK / SNK	1994	Fighter / Versus	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
aof	Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044)	SNK	1992	Fighter / Versus	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
